CIFAR10_iid,,,CIFAR10_niid,,,CIFAR100_iid,,,CIFAR100_niid,,,Shakespeare_iid,,,Shakespeare_niid,,,Cora_iid,,,Cora_niid,,,CiteSeer_iid,,,CiteSeer_niid,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rounds,accuracy,,rounds,accuracy,,rounds,accuracy,,rounds,accuracy,,rounds,accuracy,,rounds,accuracy,,rounds,accuracy,,rounds,accuracy,,rounds,accuracy,,rounds,accuracy
FedAvg,,,FedAvg,,,FedAvg,,,FedAvg,,,FedAvg,,,FedAvg,,,FedAvg,,,FedAvg,,,FedAvg,,,FedAvg,
9,68.86,,66,46.41,,172,64.06,,34,31.91,,63,50.70914248,,42,22.37734864,,131,82.66666667,,16,49.4,,183,71.33333333,,76,48.66666667
10,69.4,,67,59.75,,173,64.28,,35,30.05,,64,50.92188523,,43,18.38465553,,132,81.66666667,,17,45.1,,184,72,,77,43.33333333
11,70.06,,68,56.93,,174,64.29,,36,32.31,,65,50.82369627,,44,26.47442589,,133,82,,18,39.3,,MOON,,,78,44.66666667
12,70.84,,69,49.35,,175,64.76,,37,30.24,,66,50.73641719,,45,20.0026096,,134,82.66666667,,19,40,,0,5,,79,44
13,71.58,,70,54.7,,176,64.52,,38,29.77,,67,51.02552913,,46,25.90031315,,135,82.66666667,,20,45.8,,1,4.666666667,,80,51.66666667
14,71.82,,71,48.53,,177,64.4,,39,32.49,,68,50.91643029,,47,19.78079332,,136,82,,21,43.6,,2,37.66666667,,81,51
15,72.47,,72,48.13,,178,64.67,,40,33.14,,69,50.85642592,,48,15.39665971,,137,82.33333333,,22,43.2,,3,37.66666667,,82,62.66666667
16,72.93,,73,49.59,,179,64.43,,41,32.75,,70,51.05825878,,49,12.29123173,,138,82,,23,43.6,,4,37.66666667,,83,49.33333333
17,73.2,,74,56.3,,180,64.13,,42,30.31,,71,50.96552477,,50,14.52244259,,139,82.33333333,,24,49.8,,5,37.66666667,,84,48.33333333
18,73.39,,75,52.02,,181,64.98,,43,34.19,,72,50.943705,,51,26.06993737,,140,82.33333333,,25,53.3,,6,38,,85,52
19,73.55,,76,48.98,,182,64.57,,44,34.6,,73,51.00370936,,52,17.06680585,,141,83,,26,47.1,,7,70,,86,44
20,74.21,,77,49.19,,183,64.94,,45,31.8,,74,51.13462797,,53,16.44050104,,142,83.33333333,,27,48.2,,8,70.33333333,,87,39.66666667
21,74.47,,78,48.77,,184,64.46,,46,34.14,,75,51.12371809,,54,22.57306889,,143,83,,28,54,,9,71.33333333,,88,54
22,74.87,,79,46.23,,185,64.69,,47,32.76,,76,51.15644774,,55,28.56210856,,144,83.66666667,,29,50.3,,10,71.33333333,,89,45.33333333
23,75.29,,80,45.41,,186,64.55,,48,35.75,,77,51.12371809,,56,30.06263048,,145,80.66666667,,30,46.1,,11,72,,90,43.66666667
24,75.44,,81,53.24,,187,64.57,,49,34.39,,78,51.21099716,,57,25.53496868,,Def-KT,,,31,48.2,,12,72.33333333,,91,45.33333333
25,75.64,,82,54.67,,188,64.79,,50,32.27,,79,51.23827187,,58,15.17484342,,0,7.2,,32,48.5,,13,71,,92,40
26,76.17,,83,56.3,,189,64.86,,51,32.18,,80,51.2546367,,59,22.89926931,,0,20,,33,53,,14,73.33333333,,93,61.33333333
27,76.23,,84,60.38,,190,64.72,,52,32.62,,81,51.24372682,,60,27.83141962,,1,33.9,,34,48.4,,15,73.33333333,,94,44.66666667
28,76.26,,85,58.01,,191,64.54,,53,39.67,,82,51.29827624,,61,25.26096033,,2,34.1,,35,56.4,,16,73.33333333,,95,52.33333333
29,76.66,,86,54.52,,192,64.44,,54,35.11,,83,51.35282566,,62,24.69989562,,3,34.6,,36,63.3,,17,73,,96,47.33333333
30,76.91,,87,60.92,,193,64.62,,55,31.16,,84,51.4619245,,63,28.04018789,,4,32.8,,37,49.6,,18,70.66666667,,97,53
31,77.11,,88,56.38,,194,64.66,,56,34.18,,85,51.28736635,,64,26.53966597,,5,31.3,,38,51.4,,19,72.66666667,,98,50
32,77.3,,89,52.84,,195,64.77,,57,36.62,,86,51.30918612,,65,28.49686848,,6,31.1,,39,44.3,,20,72,,99,49.33333333
33,77.66,,90,54.53,,MOON,,,58,35.66,,87,51.54374864,,66,27.94885177,,7,32.7,,40,47.6,,21,72.33333333,,100,62.33333333
34,77.72,,91,59.5,,0,1.1,,59,32.93,,88,51.48374427,,67,23.72129436,,8,32.4,,41,50.6,,22,73.33333333,,101,48.33333333
35,78.07,,92,50.27,,1,12.3,,60,32.89,,89,51.47828933,,68,29.12317328,,9,32.4,,42,48.6,,23,73,,102,47
36,78.17,,93,62.14,,2,21.88,,61,35.9,,90,51.45101462,,69,28.62734864,,10,32.7,,43,45,,24,70.33333333,,103,55.66666667
37,78.43,,94,58.69,,3,29.15,,62,36.37,,91,51.68557713,,70,30.19311065,,11,36.9,,44,50.1,,25,71.66666667,,104,47.33333333
38,78.37,,ScaleSFL,,,4,33.89,,63,33.79,,92,51.66375736,,71,28.50991649,,12,38.4,,45,54.1,,26,71.33333333,,105,43.33333333
39,78.91,,0,11.44,,5,37.74,,64,33.92,,93,51.6419376,,72,29.4493737,,13,38.9,,46,60.6,,27,73,,106,61.66666667
40,78.8,,1,19.12,,6,39.97,,65,29.32,,94,51.60920794,,73,27.17901879,,14,38.9,,47,54,,28,71.66666667,,107,48
41,78.93,,2,28.2,,7,41.96,,66,33.95,,95,51.63648265,,74,29.18841336,,15,40.7,,48,55.4,,29,73.33333333,,108,52.66666667
42,79.03,,3,41.32,,8,43.85,,67,31.83,,96,51.55465852,,75,29.94519833,,16,42.2,,49,54.6,,30,73,,109,56.33333333
43,79.08,,4,35.06,,9,45.1,,68,29.09,,97,51.66921231,,76,27.08768267,,17,42.6,,50,55.4,,31,74.33333333,,110,58.33333333
44,79.14,,5,40.49,,10,46.33,,69,35.26,,98,51.7455815,,77,27.63569937,,18,42.8,,51,52.5,,32,74.33333333,,111,63.33333333
45,79.18,,6,13.69,,11,47.52,,70,33.18,,99,51.55465852,,78,24.6085595,,19,42.8,,52,55.8,,33,72.33333333,,112,65.33333333
46,79,,7,39.07,,12,48.29,,71,31.08,,100,51.90922976,,79,24.89561587,,20,44.7,,53,56.7,,34,71.66666667,,113,63
47,79.57,,8,38.3,,13,48.94,,72,33.07,,101,51.87104517,,FedHiSyn,,,21,44.7,,54,50.1,,35,73,,114,51
48,79.58,,9,36.64,,14,49.55,,73,36.62,,102,51.99105389,,0,0.430584551,,22,45.9,,55,55.2,,36,73,,115,50.33333333
49,80,,10,45.26,,15,51.01,,74,35.34,,103,51.89286494,,1,8.833507307,,23,48,,56,60.9,,37,71.66666667,,116,51
50,80.02,,11,57.89,,16,51.11,,75,36.05,,104,52.02923849,,2,23.10803758,,24,51,,57,53.9,,38,73.33333333,,117,55.33333333
51,79.96,,12,49.1,,17,52.35,,76,33.55,,105,51.92013965,,3,30.51931106,,25,53.7,,58,55.7,,39,73.33333333,,118,66
52,80.03,,13,65.15,,18,52.34,,77,35.71,,106,52.05105826,,4,12.91753653,,26,57.7,,59,62.7,,40,72,,119,54.33333333
53,80.18,,14,47.99,,19,52.67,,78,35.45,,107,52.04560332,,5,12.94363257,,27,60.8,,60,59,,41,74,,120,47
54,80.12,,15,35.07,,20,53.72,,79,34.68,,108,52.21470652,,6,29.98434238,,28,62.8,,61,58.4,,42,73.66666667,,121,48
55,80.36,,16,42.73,,21,54.08,,80,33.86,,109,51.96377918,,7,17.48434238,,29,61.9,,62,61.2,,43,74,,122,48.66666667
56,80.49,,17,51.37,,22,54.29,,81,34.92,,110,52.17106699,,8,29.81471816,,30,62.4,,63,61.5,,44,73.33333333,,123,60
57,80.46,,18,52.12,,23,54.46,,82,35.79,,111,52.10560768,,9,18.3585595,,31,64,,64,58.3,,45,74,,124,47
58,80.7,,19,60.76,,24,55.57,,83,36.77,,112,52.27471089,,10,15.40970772,,32,65.4,,65,60.2,,46,73.66666667,,ScaleSFL,
59,80.88,,20,54.49,,25,55.5,,84,35.76,,113,52.23652629,,11,14.60073069,,33,66,,66,57.9,,47,73.66666667,,0,32.1316397
60,81.01,,21,68.24,,26,56.07,,85,35.84,,114,52.3019856,,12,17.91492693,,34,67.9,,67,59.6,,48,73.33333333,,1,-0.8327366
61,80.9,,22,47.32,,27,56.44,,86,35.59,,115,52.23652629,,13,30.92379958,,35,68.9,,68,59.9,,49,73.33333333,,2,26.72234765
62,81.01,,23,56.33,,28,57.01,,87,36.65,,116,52.28016583,,14,20.95511482,,36,68.7,,69,60.3,,50,73.66666667,,3,34.64385815
63,81.28,,24,59.04,,29,56.95,,88,37.48,,ScaleSFL,,,15,15.01826722,,37,68.6,,70,61.8,,51,73.66666667,,4,31.10401141
64,81.09,,25,58.24,,30,57.31,,89,38.36,,0,3.75782881,,16,21.59446764,,38,68.9,,71,55.1,,52,74,,5,31.71123288
65,81.06,,26,60.2,,31,57.96,,90,38.09,,1,19.51983299,,17,32.3460334,,39,70.6,,72,56.2,,53,75,,6,31.30932016
66,81.42,,27,56.8,,32,57.76,,91,35.37,,2,30.89770355,,18,31.22390397,,40,70.9,,73,57.3,,54,75.33333333,,7,32.64404788
67,81.24,,28,72.26,,33,57.89,,92,38.09,,3,33.33768267,,19,27.03549061,,41,69.3,,74,53,,55,74.66666667,,8,31.379025
68,81.41,,29,61.26,,34,58.74,,93,39.66,,4,34.36847599,,20,32.54175365,,42,70.6,,75,58.1,,56,75.33333333,,9,35.88966906
69,81.41,,30,56.13,,35,58.37,,94,34.55,,5,35.21659708,,21,31.99373695,,43,71.6,,76,59.1,,57,74.33333333,,10,28.12306261
70,81.63,,31,68.64,,36,59.05,,95,36.9,,6,35.29488518,,22,31.4065762,,44,72.7,,77,61.8,,58,75.33333333,,11,18.76812705
71,81.69,,32,51.68,,37,59.04,,96,37.04,,7,36.76931106,,23,31.66753653,,45,73.6,,78,58,,59,74.66666667,,12,1.404495728
72,81.76,,33,63.63,,38,59.18,,97,32.47,,8,37.30427975,,24,32.85490605,,46,73.5,,79,57.4,,60,74,,13,36.57972372
73,81.93,,34,54.37,,39,59.34,,98,35.35,,9,37.93058455,,25,25.3914405,,47,74.5,,80,61.4,,61,74,,14,31.36626181
74,81.86,,35,43.11,,40,59.6,,99,33.4,,10,38.32202505,,26,18.81524008,,48,74.8,,81,53.2,,62,74,,15,35.81600194
75,81.87,,36,69.69,,41,59.83,,100,32.99,,11,38.79175365,,27,23.02974948,,49,74.3,,82,52.9,,63,76.33333333,,16,31.39855039
76,82.1,,37,59.74,,42,60.21,,101,35.14,,12,38.9091858,,28,23.36899791,,50,74.8,,83,55.2,,64,74.33333333,,17,36.97907911
77,81.98,,38,72.13,,43,59.92,,102,38.05,,13,39.49634656,,29,31.9545929,,51,74.5,,84,56.6,,65,76.33333333,,18,31.94863144
78,82.23,,39,69.84,,44,60.28,,ScaleSFL,,,14,40.09655532,,30,31.62839248,,52,74.7,,85,53.6,,66,74.33333333,,19,37.77232889
79,82.12,,40,69.04,,45,60.49,,0,-2.466288215,,15,40.29227557,,31,24.16492693,,53,74.7,,86,54.6,,67,73.66666667,,20,33.12038204
80,82.4,,41,67.39,,46,61.07,,1,8.316378143,,16,40.52713987,,32,19.57202505,,54,75,,87,59.2,,68,74.33333333,,21,39.97763075
81,82.25,,42,62.59,,47,60.74,,2,10.10435136,,17,41.37526096,,33,14.53549061,,55,74.7,,88,59.5,,69,72.66666667,,22,38.83692177
82,82.08,,43,69.9,,48,60.57,,3,13.68841398,,18,41.21868476,,34,22.33820459,,56,75.3,,89,60.3,,70,73,,23,37.9135762
83,82.07,,44,60.11,,49,61.17,,4,17.1971329,,19,41.64926931,,35,30.9368476,,57,76,,90,57.8,,71,73,,24,36.7742063
84,82.3,,45,70.19,,50,61.09,,5,13.45363229,,20,41.97546973,,36,31.98068894,,58,75.5,,91,60.3,,72,72.66666667,,25,35.29427781
85,82.51,,46,59.76,,51,61.11,,6,17.55745556,,21,42.52348643,,37,31.98068894,,59,75.8,,92,57.4,,73,74,,26,34.16002208
86,82.64,,47,68.93,,52,61.34,,7,20.00328605,,22,42.86273486,,38,17.15814196,,60,76.2,,93,59.2,,74,74,,27,32.02051892
87,82.75,,48,57.33,,53,60.81,,8,20.01923823,,23,42.92797495,,39,18.56732777,,61,76.4,,94,56.2,,75,72,,28,36.70433185
88,82.63,,49,57.48,,54,61.84,,9,17.50125809,,24,43.00626305,,40,27.40083507,,62,76.4,,95,58.5,,76,73,,29,37.35494391
89,82.69,,50,64.79,,55,61.57,,10,21.69890914,,25,43.33246347,,41,23.72129436,,63,76.5,,96,57,,77,74,,30,34.2000609
90,82.64,,51,65.54,,56,62.33,,11,22.48795466,,26,43.37160752,,42,32.3460334,,64,76.1,,97,56,,78,74.33333333,,31,33.44188364
91,82.6,,52,53.46,,57,62.27,,12,24.61290588,,27,43.58037578,,43,22.65135699,,65,76.9,,98,57.6,,79,74.66666667,,32,31.87908718
92,82.77,,53,59.54,,58,62.47,,13,25.52266191,,28,43.71085595,,44,31.7980167,,66,77.3,,99,59.6,,80,75.66666667,,33,37.49001504
93,82.75,,54,63.94,,59,61.82,,14,26.5772161,,29,43.88048017,,45,17.77139875,,67,77.7,,100,56.8,,81,74.33333333,,34,38.50286415
94,82.78,,55,55.54,,60,62.27,,15,25.81247337,,30,44.19363257,,46,22.56002088,,68,77.6,,101,58.1,,82,74.33333333,,35,61.97278743
95,82.97,,56,65.62,,61,63.14,,16,25.80020057,,31,44.33716075,,47,25.26096033,,69,77.2,,102,61.9,,83,74.33333333,,36,53.08886663
96,82.72,,57,60.71,,62,63.07,,17,24.69374579,,32,44.08924843,,48,33.46816284,,70,77.8,,103,59.2,,84,74.66666667,,37,58.14851688
97,82.8,,58,63.72,,63,62.95,,18,31.41579752,,33,44.49373695,,49,24.85647182,,71,78.4,,104,58.3,,85,76,,38,62.52616214
98,83.02,,59,71.53,,64,63.05,,19,30.28000862,,34,44.57202505,,50,33.08977035,,72,78,,105,60.6,,86,75,,39,60.26751083
99,83.22,,60,61.13,,65,62.63,,20,32.25954974,,35,44.70250522,,51,27.94885177,,73,78.1,,106,63.1,,87,74.33333333,,40,63.1227054
100,83.22,,61,61.53,,66,63.15,,21,32.36175573,,36,44.8460334,,52,22.28601253,,74,78.1,,107,58.3,,88,74.33333333,,41,59.96222639
101,83.39,,62,65.5,,67,62.61,,22,31.38120194,,37,44.88517745,,53,28.50991649,,75,78.8,,108,61.7,,89,75,,42,61.40273583
102,83.16,,63,57.43,,68,63.2,,23,30.56606434,,38,44.50678497,,54,21.41179541,,76,78.7,,109,62.2,,90,75.33333333,,43,39.01957551
103,83.27,,64,70.59,,69,62.96,,24,34.30374695,,39,44.81993737,,55,23.64300626,,77,78.6,,110,61.2,,91,74.33333333,,44,61.08122369
104,83.36,,65,55.18,,70,63.52,,25,33.35420571,,40,44.96346555,,56,33.0506263,,78,78.7,,111,57.7,,92,74.66666667,,45,38.99711202
105,83.2,,66,72.52,,71,63.57,,26,34.19988172,,41,45.65501044,,57,32.25469729,,79,78.9,,112,63.1,,93,75.33333333,,46,39.43801652
106,83.33,,67,56.07,,72,63.39,,27,32.13238081,,42,45.28966597,,58,24.72599165,,80,78.7,,113,60.8,,94,74.33333333,,47,42.75894699
107,83.32,,68,49.37,,73,63.38,,28,35.15336188,,43,45.79853862,,59,18.22807933,,81,78.6,,114,58.7,,95,73.66666667,,48,60.57278697
108,83.52,,69,65.84,,74,63.64,,29,33.20020548,,44,45.81158664,,60,17.56263048,,82,78.8,,115,57.4,,96,74,,49,54.75084853
109,83.58,,70,66.48,,75,64.04,,30,35.48002433,,45,45.53757829,,61,26.35699374,,83,79,,116,61.9,,97,74,,50,39.81269511
110,83.56,,71,68.35,,76,64.14,,31,36.36791592,,46,46.04645094,,62,28.11847599,,84,79,,117,61.2,,98,74,,51,34.39943047
111,83.65,,72,65.44,,77,63.94,,32,36.97708586,,47,46.16388309,,63,32.68528184,,85,79.3,,118,61.6,,99,74.33333333,,52,38.55540947
112,83.74,,73,68.81,,78,63.73,,33,32.08550845,,48,46.13778706,,64,20.61586639,,86,79.9,,119,60.9,,100,73.66666667,,53,39.88497638
113,83.66,,74,52.85,,79,63.76,,34,35.42377339,,49,46.24217119,,65,22.23382046,,87,79.9,,120,63.3,,101,74,,54,39.33960246
114,83.77,,75,58.64,,80,63.89,,35,34.73869082,,50,45.96816284,,66,34.92954071,,88,80.2,,121,60.5,,102,74.33333333,,55,37.91362928
115,83.74,,76,69.73,,81,63.65,,36,34.9818424,,51,46.25521921,,67,24.64770355,,89,79.4,,122,62.3,,103,74,,56,61.72024682
116,83.82,,77,65.86,,82,64.03,,37,34.65430462,,52,46.33350731,,68,25.69154489,,90,79.6,,123,60.4,,104,74,,57,48.350513
117,83.87,,78,65.84,,83,63.91,,38,40.7739945,,53,46.24217119,,69,22.40344468,,91,79.6,,124,60.8,,105,73.66666667,,58,53.16925089
118,83.81,,79,53.42,,84,64.05,,39,40.15285925,,54,46.18997912,,70,26.03079332,,92,80,,125,60.1,,106,74.33333333,,59,63.61522524
119,84.01,,80,59.15,,85,64.24,,40,38.66392379,,55,46.43789144,,71,32.41127349,,93,79.6,,126,58.8,,107,74.33333333,,60,59.2366985
120,84.14,,81,60.23,,86,64.11,,41,36.24980532,,56,46.45093946,,72,31.57620042,,94,80,,127,60.1,,108,73.66666667,,61,33.73244513
121,84.17,,82,67.74,,87,64.33,,42,36.50290064,,57,46.56837161,,73,32.6591858,,95,79.9,,128,61.4,,109,75.66666667,,62,38.67684273
122,84.1,,83,56.27,,88,64.18,,43,35.48077082,,58,46.46398747,,FedAsync,,,96,79.7,,129,61.4,,110,74,,63,62.57036671
ScaleSFL,,,84,49.27,,89,64.43,,44,38.89485931,,59,46.93371608,,0,4.344989562,,97,80.3,,130,62.6,,111,74.33333333,,64,60.78958448
0,9.69,,85,70.01,,90,64.21,,45,39.50058402,,60,46.73799582,,0,8.194154489,,98,80.7,,131,62.2,,112,74.33333333,,65,54.89304179
1,46.97,,86,66.56,,91,64.3,,46,38.61109559,,61,46.84237996,,1,6.119519833,,99,80.3,,ScaleSFL,,,113,74,,66,35.21682076
2,55.16,,87,60.45,,92,64.72,,47,39.23480284,,62,46.95981211,,2,5.258350731,,100,80.1,,0,8.333333333,,114,74.33333333,,67,34.12432687
3,58.78,,88,69.45,,93,64.39,,48,37.29070996,,63,46.95981211,,3,25.95250522,,101,80.3,,1,8.333333333,,115,74,,68,60.70860493
4,62.78,,89,66.48,,94,64.92,,49,40.07586212,,64,47.29906054,,4,27.97494781,,102,80.1,,2,8.333333333,,116,75.33333333,,69,52.08325485
5,65.21,,FedHiSyn,,,95,64.57,,50,41.12967473,,65,47.22077244,,5,29.21450939,,103,80.4,,3,9.666666667,,117,76,,70,39.09670875
6,66.46,,0,10.71,,96,63.97,,51,41.81825184,,66,47.50782881,,6,29.73643006,,104,80,,4,17,,118,75.66666667,,71,35.41014784
7,67.41,,1,28.18,,97,64.29,,52,37.6527078,,67,47.41649269,,7,28.75782881,,105,80.6,,5,11.33333333,,119,74.66666667,,72,38.31093261
8,68.88,,2,32.14,,98,64.65,,53,39.98453907,,68,47.39039666,,8,28.53601253,,106,80.9,,6,11.33333333,,120,75.33333333,,73,40.34691962
9,70.36,,3,43.04,,99,64.58,,54,40.13125155,,69,47.15553236,,9,28.94050104,,107,80.2,,7,11.33333333,,121,75.33333333,,74,36.49082248
10,70.9,,4,40.61,,100,64.56,,55,40.24157112,,70,47.23382046,,10,31.38048017,,108,80.3,,8,12.66666667,,122,75.66666667,,75,38.89464441
11,71.8,,5,32.27,,101,64.93,,56,43.88349274,,71,47.44258873,,11,25.37839248,,109,80.8,,9,17.33333333,,123,74.66666667,,76,39.9776448
12,72.42,,6,54.38,,102,64.61,,57,38.4103319,,72,47.22077244,,12,26.82672234,,110,81,,10,21.66666667,,124,75.66666667,,77,38.79772519
13,72.65,,7,50.06,,103,64.71,,58,42.52927356,,73,47.24686848,,13,24.0605428,,111,80.9,,11,14.66666667,,125,74.33333333,,78,45.55358473
14,74.44,,8,47.56,,104,64.43,,59,40.19010929,,74,47.33820459,,14,25.65240084,,112,81,,12,11.66666667,,126,76,,79,34.80814081
15,74.92,,9,51.55,,105,64.3,,60,40.01710118,,75,47.48173278,,15,29.71033403,,113,80.7,,13,11.33333333,,127,75,,80,36.91345863
16,75.39,,10,36.92,,106,64.84,,61,42.77491208,,76,47.59916493,,16,29.72338205,,114,80.5,,14,11.33333333,,128,75.33333333,,81,34.4328817
17,75.76,,11,49.68,,107,64.51,,62,41.52647743,,77,47.52087683,,17,24.89561587,,115,80.8,,15,12.33333333,,129,75,,82,41.299582
18,76.4,,12,52.6,,108,64.96,,63,41.04371158,,78,47.61221294,,18,24.71294363,,116,80.6,,16,11.33333333,,130,74.33333333,,83,54.64981739
19,76.8,,13,40,,109,64.41,,64,42.22947722,,79,47.88622129,,19,25.63935282,,117,80.3,,17,11.33333333,,131,75.33333333,,84,34.88918379
20,77.37,,14,61.18,,110,64.91,,65,43.19448012,,80,47.52087683,,20,29.94519833,,118,81,,18,11.33333333,,132,75.33333333,,85,41.45040043
21,78.3,,15,49.69,,111,64.46,,66,42.64465664,,81,47.91231733,,21,30.68893528,,119,81.1,,19,11.33333333,,133,74.66666667,,86,58.990585
22,78.57,,16,43.19,,112,64.75,,67,43.14771336,,82,47.96450939,,22,30.83246347,,120,80.7,,20,11.33333333,,134,75.33333333,,87,63.2263118
23,78.97,,17,49.26,,113,64.78,,68,40.31599246,,83,47.57306889,,23,23.23851775,,121,80.7,,21,11.33333333,,135,74.33333333,,88,46.95940593
24,78.97,,18,47.71,,114,65.1,,69,43.8735389,,84,47.89926931,,24,22.67745303,,122,80.3,,22,11.33333333,,136,73,,89,61.01516585
25,79.55,,19,39.21,,115,64.69,,70,42.96979395,,85,48.00365344,,25,18.94572025,,123,80.9,,23,11.33333333,,137,74.66666667,,90,48.58807664
26,79.55,,20,49.52,,116,65.2,,71,41.22469652,,86,48.08194154,,26,22.99060543,,ScaleSFL,,,24,14.33333333,,138,75,,91,58.89601369
27,79.92,,21,60.98,,117,65.05,,72,41.84717938,,87,47.79488518,,27,30.7802714,,0,11.33333333,,25,18.66666667,,139,74.66666667,,92,50.91611151
28,80.06,,22,58.29,,118,65.05,,73,43.04315408,,88,47.99060543,,28,30.94989562,,1,37.33333333,,26,12.66666667,,140,74.66666667,,93,47.20883642
29,80.17,,23,43.11,,119,64.45,,74,43.74131047,,89,47.88622129,,29,22.29906054,,2,35,,27,11.66666667,,141,75,,94,59.5781178
30,80.4,,24,60.97,,120,64.7,,75,44.82503113,,90,47.95146138,,30,22.12943633,,3,35,,28,13.33333333,,142,75.33333333,,95,41.92576899
31,80.53,,25,53.73,,121,64.85,,76,39.88336837,,91,47.62526096,,31,16.93632568,,4,35,,29,18,,143,74.66666667,,96,41.28190298
32,80.83,,26,60.8,,122,64.8,,77,43.88486041,,92,47.91231733,,32,16.85803758,,5,35,,30,21.66666667,,144,74.66666667,,97,40.12757663
33,80.85,,27,53.93,,123,64.28,,78,44.85183438,,93,48.10803758,,33,17.53653445,,6,35,,31,19.66666667,,145,75,,98,47.9510139
34,81.25,,28,57.61,,124,64.78,,79,43.92037028,,94,48.05584551,,34,29.93215031,,7,35,,32,22.33333333,,146,75,,99,49.06297212
35,81.35,,29,59.77,,125,64.49,,80,41.94948202,,95,48.13413361,,35,26.44832985,,8,35,,33,19.66666667,,147,74.33333333,,100,42.03134003
36,81.38,,30,58.35,,126,64.85,,81,44.42343632,,96,47.91231733,,36,26.44832985,,9,35,,34,23.66666667,,148,74.33333333,,101,60.35716333
37,81.17,,31,58.61,,127,65.07,,82,43.41410383,,97,47.96450939,,37,25.53496868,,10,35,,35,24,,149,74.66666667,,102,43.23392113
38,81.16,,32,54.31,,128,64.62,,83,46.49068791,,98,48.12108559,,38,31.30219207,,11,35,,36,24,,150,74.66666667,,103,43.58510825
39,81.52,,33,71.25,,129,65.12,,84,47.09860026,,99,48.17327766,,39,30.74112735,,12,35,,37,24,,151,74.33333333,,104,61.12590962
40,81.89,,34,68.94,,130,64.89,,85,48.55381135,,100,48.32985386,,40,30.5454071,,13,35,,38,24,,152,74.33333333,,105,61.57672838
41,81.86,,35,53.7,,131,64.69,,86,43.27365523,,101,48.434238,,41,30.57150313,,14,35,,39,23.66666667,,153,74.33333333,,106,58.22971286
42,82.36,,36,60.66,,132,64.82,,87,44.03281497,,102,48.60386221,,42,29.87995825,,15,35,,40,24,,154,74.66666667,,107,61.00227002
43,82.36,,37,67.26,,133,65.25,,88,45.68173812,,103,48.08194154,,43,27.51826722,,16,35,,41,24,,155,75,,108,55.05651076
44,82.32,,38,64.63,,134,65.27,,89,43.44021062,,104,48.13413361,,44,26.0960334,,17,35,,42,23.66666667,,156,74.33333333,,109,48.12879208
45,82.38,,39,53.75,,135,65.27,,90,46.27665862,,105,48.12108559,,45,26.38308977,,18,35,,43,24,,157,74,,110,60.22772991
46,82.63,,40,51.17,,136,65.09,,91,44.57698224,,106,48.47338205,,46,10.81680585,,19,35.33333333,,44,24,,158,74.33333333,,111,52.08220953
47,82.48,,41,62.38,,137,64.88,,92,46.7336476,,107,48.52557411,,47,12.4217119,,20,36,,45,24,,159,74.66666667,,112,64.71910568
48,82.73,,42,54.34,,138,64.75,,93,45.93223626,,108,48.57776618,,48,16.29697286,,21,36.66666667,,46,24,,160,75.66666667,,113,57.99592489
49,82.47,,43,66.03,,139,64.98,,94,44.17647178,,109,48.64300626,,49,15.51409186,,22,37,,47,24.66666667,,161,75.66666667,,114,62.71161166
50,82.8,,44,54.65,,140,64.62,,95,49.62764432,,110,48.49947808,,50,15.14874739,,23,37.33333333,,48,25,,162,75.66666667,,115,54.01894912
51,83.08,,45,56.94,,141,64.9,,96,44.91671497,,111,48.68215031,,51,15.46189979,,24,38.33333333,,49,25.66666667,,163,74,,116,53.10378042
52,83.1,,46,65.62,,142,64.86,,97,48.63304994,,112,49.08663883,,52,14.66597077,,25,40,,50,26.33333333,,164,73.66666667,,117,34.47160729
53,83.17,,47,45.42,,143,65.06,,98,48.42103606,,113,48.69519833,,53,16.84498956,,26,41,,51,27.66666667,,165,74.33333333,,118,35.57965772
54,83.33,,48,48,,144,65.35,,99,47.25750908,,114,48.77348643,,54,19.51983299,,27,42,,52,28.33333333,,166,75,,119,60.96462406
55,83.59,,49,56.41,,145,65.2,,100,45.77611853,,115,48.9822547,,55,17.43215031,,28,43,,53,37.33333333,,167,74.66666667,,120,62.30258577
56,83.5,,50,58.86,,146,64.82,,101,44.40397339,,116,49.03444676,,56,17.7322547,,29,44,,54,36.33333333,,168,74.66666667,,121,58.95545626
57,83.65,,51,69.15,,147,64.88,,102,44.83634877,,117,48.94311065,,57,15.81419624,,30,46,,55,37,,169,74.33333333,,122,50.71183369
58,83.67,,52,71.71,,148,65.06,,103,44.20772838,,118,48.79958246,,58,15.73590814,,31,47,,56,36.66666667,,170,74.66666667,,123,45.76606109
59,83.64,,53,69.53,,149,65.1,,104,44.89600067,,119,49.19102296,,59,11.83455115,,32,48.66666667,,57,33.33333333,,171,75.33333333,,124,60.82326402
60,83.71,,54,68.96,,150,64.78,,105,46.05624219,,120,48.81263048,,60,12.83924843,,33,49.33333333,,58,34,,172,74.33333333,,125,46.81257201
61,83.79,,55,58.32,,151,65.37,,106,46.10370375,,121,48.49947808,,61,13.03496868,,34,50,,59,33,,173,74.66666667,,126,45.76487993
62,83.71,,56,63.64,,152,65.24,,107,47.15298776,,FedHiSyn,,,62,10.36012526,,35,52.66666667,,60,30.33333333,,174,74.33333333,,127,64.26580076
